SKU,Product Name,Brand,Category,Sub-Category,Package Size,MRP (INR),Standard Selling Price (INR),Description,Real Image URL
GCPL-GK-045,Goodknight Smart Activ Mosquito Vapouriser Machine + 1 Refill,Goodknight,Home Care,Household Insecticides,1 Kit,130.00,115.00,Smart auto-sensor mosquito machine with dual activ speed control,https://www.bigbasket.com/media/uploads/p/l/40121123_1-good-knight-smart-activ-machine.jpg
GCPL-GK-046,Goodknight Smart Activ Mosquito Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,95.00,88.00,Refill for smart activ sensor mosquito machine,https://www.bigbasket.com/media/uploads/p/l/40121124_1-good-knight-smart-activ-refill.jpg
GCPL-GK-047,Goodknight Smart Activ Liquid Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,185.00,165.00,Twin saver pack of smart activ liquid refills,https://www.bigbasket.com/media/uploads/p/l/40121125_1-good-knight-smart-activ-refill-pack-of-2.jpg
GCPL-GK-048,Goodknight Smart Activ Liquid Refill (Pack of 3),Goodknight,Home Care,Household Insecticides,3 x 45 ml,265.00,240.00,Value triple pack of smart activ liquid refills,https://www.bigbasket.com/media/uploads/p/l/40121126_1-good-knight-smart-activ-refill-pack-of-3.jpg
GCPL-GK-049,Goodknight Gold Flash Mosquito Vapouriser Machine Only,Goodknight,Home Care,Household Insecticides,1 Unit,70.00,65.00,Standard replacement automatic machine for gold flash,https://www.bigbasket.com/media/uploads/p/l/40189053_1-good-knight-gold-flash-machine-only.jpg
GCPL-GK-050,Goodknight Power Activ+ Machine Only,Goodknight,Home Care,Household Insecticides,1 Unit,55.00,50.00,Standard replacement dual mode machine for power activ+,https://www.bigbasket.com/media/uploads/p/l/266517_10-good-knight-power-activ-machine-only.jpg
GCPL-GK-051,Goodknight Jumbo Coil Neem Active,Goodknight,Home Care,Household Insecticides,10 Coils,36.00,34.00,Neem fortified slow burn jumbo mosquito repellent coil,https://www.bigbasket.com/media/uploads/p/l/40121127_1-good-knight-neem-coil.jpg
GCPL-GK-052,Goodknight Jumbo Coil Neem Active (Pack of 2),Goodknight,Home Care,Household Insecticides,20 Coils,72.00,66.00,Neem fortified coils twin pack for durable protection,https://www.bigbasket.com/media/uploads/p/l/40121128_1-good-knight-neem-coil-pack-of-2.jpg
GCPL-GK-053,Goodknight Fabric Roll-On Neem & Aloe,Goodknight,Home Care,Personal Repellents,8 ml,80.00,75.00,100% natural roll-on with neem and aloe extracts for soft fabrics,https://www.bigbasket.com/media/uploads/p/l/40121129_1-good-knight-fabric-roll-on-neem-aloe.jpg
GCPL-GK-054,Goodknight Fabric Roll-On Neem & Aloe (Pack of 2),Goodknight,Home Care,Personal Repellents,2 x 8 ml,160.00,145.00,Twin pack of neem and aloe vera natural roll-ons,https://www.bigbasket.com/media/uploads/p/l/40121130_1-good-knight-fabric-roll-on-neem-aloe-pack-of-2.jpg
GCPL-GK-055,Goodknight Fabric Roll-On Neem & Aloe Large,Goodknight,Home Care,Personal Repellents,15 ml,130.00,118.00,Standard large capacity neem-aloe natural roll-on,https://www.bigbasket.com/media/uploads/p/l/40121131_1-good-knight-fabric-roll-on-neem-aloe-15ml.jpg
GCPL-GK-056,Goodknight Gold Flash Lavender Machine + 1 Refill,Goodknight,Home Care,Household Insecticides,1 Kit,125.00,112.00,Gold flash automatic vaporiser machine with lavender refill,https://www.bigbasket.com/media/uploads/p/l/40189054_1-good-knight-gold-flash-lavender-machine-refill.jpg
GCPL-GK-057,Goodknight Gold Flash Lavender Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,95.00,89.00,Lavender scented replacement gold flash liquid refill,https://www.bigbasket.com/media/uploads/p/l/40189055_1-good-knight-gold-flash-lavender-refill.jpg
GCPL-GK-058,Goodknight Gold Flash Lavender Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,185.00,170.00,Twin pack of lavender scented gold flash liquid refills,https://www.bigbasket.com/media/uploads/p/l/40189056_1-good-knight-gold-flash-lavender-refill-pack-of-2.jpg
GCPL-GK-059,Goodknight Gold Flash Lavender Refill (Pack of 3),Goodknight,Home Care,Household Insecticides,3 x 45 ml,270.00,245.00,Triple pack of lavender scented gold flash liquid refills,https://www.bigbasket.com/media/uploads/p/l/40189057_1-good-knight-gold-flash-lavender-refill-pack-of-3.jpg
GCPL-GK-060,Goodknight Fast Card Mosquito Repellent Box,Goodknight,Home Care,Household Insecticides,100 Cards,150.00,135.00,Value box containing 10 booklets of 10 fast cards,https://www.bigbasket.com/media/uploads/p/l/266518_2-good-knight-fast-card-box-100.jpg
GCPL-GK-061,Goodknight Coil Stand Metal Base,Goodknight,Home Care,Household Insecticides,1 Unit,20.00,18.00,Sturdy heat-resistant metal coil stand for outdoor spirals,https://www.bigbasket.com/media/uploads/p/l/40121132_1-good-knight-coil-stand.jpg
GCPL-GK-062,Goodknight Cool Gel Spray Personal Repellent,Goodknight,Home Care,Personal Repellents,100 ml,160.00,145.00,Convenient spray formulation of skin-safe cool gel,https://www.bigbasket.com/media/uploads/p/l/40121133_1-good-knight-cool-gel-spray.jpg
GCPL-GK-063,Goodknight Naturals Neem Repellent Coils,Goodknight,Home Care,Household Insecticides,10 Coils,42.00,39.00,100% plant-based coils made with pure organic neem leaves,https://www.bigbasket.com/media/uploads/p/l/40204139_1-good-knight-naturals-neem-coils.jpg
GCPL-GK-064,Goodknight Naturals Neem Repellent Coils (Pack of 5),Goodknight,Home Care,Household Insecticides,50 Coils,210.00,195.00,Value box of plant-based pure neem mosquito coils,https://www.bigbasket.com/media/uploads/p/l/40204140_1-good-knight-naturals-neem-coils-pack-of-5.jpg
GCPL-GK-065,Goodknight Mosquito Net Double Bed Premium White,Goodknight,Home Care,Mosquito Nets,1 Unit,1099.00,899.00,Elegant white foldable mesh net with dual zippers,https://www.bigbasket.com/media/uploads/p/l/40121134_1-good-knight-net-double-white.jpg
GCPL-GK-066,Goodknight Mosquito Net Double Bed Premium Green,Goodknight,Home Care,Mosquito Nets,1 Unit,1099.00,899.00,High quality green foldable net for double beds,https://www.bigbasket.com/media/uploads/p/l/40121135_1-good-knight-net-double-green.jpg
GCPL-GK-067,Goodknight Mosquito Net Single Bed Premium White,Goodknight,Home Care,Mosquito Nets,1 Unit,849.00,649.00,High quality white foldable net for single beds,https://www.bigbasket.com/media/uploads/p/l/40121136_1-good-knight-net-single-white.jpg
GCPL-GK-068,Goodknight Mosquito Net Single Bed Premium Green,Goodknight,Home Care,Mosquito Nets,1 Unit,849.00,649.00,High quality green foldable net for single beds,https://www.bigbasket.com/media/uploads/p/l/40121137_1-good-knight-net-single-green.jpg
GCPL-GK-069,Goodknight Power Activ+ Liquid Refill (Pack of 5),Goodknight,Home Care,Household Insecticides,5 x 45 ml,365.00,335.00,Value collection of 5 power activ+ liquid refills,https://www.bigbasket.com/media/uploads/p/l/266517_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill-pack-of-5.jpg
GCPL-GK-070,Goodknight Gold Flash Liquid Refill (Pack of 5),Goodknight,Home Care,Household Insecticides,5 x 45 ml,395.00,365.00,Value collection of 5 gold flash liquid refills,https://www.bigbasket.com/media/uploads/p/l/40189058_1-good-knight-gold-flash-mosquito-vapouriser-refill-pack-of-5.jpg
GCPL-GK-071,Goodknight Mosquito Repellent Patches (Pack of 30),Goodknight,Home Care,Personal Repellents,30 Patches,110.00,99.00,Natural skin-safe clothes patches in medium pack,https://www.bigbasket.com/media/uploads/p/l/40121138_1-good-knight-patches-pack-of-30.jpg
GCPL-GK-072,Goodknight Cool Gel Spray (Pack of 2),Goodknight,Home Care,Personal Repellents,2 x 100 ml,320.00,280.00,Double saving pack of personal repellent cool gel spray,https://www.bigbasket.com/media/uploads/p/l/40121139_1-good-knight-cool-gel-spray-pack-of-2.jpg
GCPL-GK-073,Goodknight Fabric Roll-On Citrus (Pack of 3),Goodknight,Home Care,Personal Repellents,3 x 8 ml,225.00,199.00,Triple protection value pack of citrus roll-on,https://www.bigbasket.com/media/uploads/p/l/40118320_1-good-knight-fabric-roll-on-citrus-pack-of-3.jpg
GCPL-GK-074,Goodknight Fabric Roll-On Mild Bloom (Pack of 3),Goodknight,Home Care,Personal Repellents,3 x 8 ml,225.00,199.00,Triple protection value pack of floral roll-on,https://www.bigbasket.com/media/uploads/p/l/40118321_1-good-knight-fabric-roll-on-mild-bloom-pack-of-3.jpg
GCPL-GK-075,Goodknight Fabric Roll-On Neem-Aloe (Pack of 3),Goodknight,Home Care,Personal Repellents,3 x 8 ml,240.00,215.00,Triple protection value pack of organic roll-on,https://www.bigbasket.com/media/uploads/p/l/40121140_1-good-knight-fabric-roll-on-neem-aloe-pack-of-3.jpg
GCPL-GK-076,Goodknight Mosquito Repellent Cream Lavender,Goodknight,Home Care,Personal Repellents,50 g,70.00,65.00,Personal protection cream infused with lavender extracts,https://www.bigbasket.com/media/uploads/p/l/40121141_1-good-knight-cream-lavender.jpg
GCPL-GK-077,Goodknight Mosquito Repellent Cream Lavender Tube,Goodknight,Home Care,Personal Repellents,100 g,130.00,118.00,Personal protection cream in large tube with lavender,https://www.bigbasket.com/media/uploads/p/l/40121142_1-good-knight-cream-lavender-100g.jpg
GCPL-GK-078,Goodknight Smart Activ Lavender Vapouriser Machine + Refill,Goodknight,Home Care,Household Insecticides,1 Kit,135.00,119.00,Smart auto-sensor machine with lavender scented refill,https://www.bigbasket.com/media/uploads/p/l/40121143_1-good-knight-smart-activ-lavender-machine.jpg
GCPL-GK-079,Goodknight Smart Activ Lavender Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,100.00,92.00,Lavender scented replacement refill for smart machine,https://www.bigbasket.com/media/uploads/p/l/40121144_1-good-knight-smart-activ-lavender-refill.jpg
GCPL-GK-080,Goodknight Smart Activ Lavender Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,195.00,175.00,Twin pack of smart lavender active refills,https://www.bigbasket.com/media/uploads/p/l/40121145_1-good-knight-smart-activ-lavender-refill-pack-of-2.jpg
GCPL-GK-081,Goodknight Smart Activ Lavender Refill (Pack of 3),Goodknight,Home Care,Household Insecticides,3 x 45 ml,285.00,255.00,Triple saver pack of smart lavender active refills,https://www.bigbasket.com/media/uploads/p/l/40121146_1-good-knight-smart-activ-lavender-refill-pack-of-3.jpg
GCPL-GK-082,Goodknight Mosquito Repellent Patches (Pack of 12),Goodknight,Home Care,Personal Repellents,12 Patches,50.00,45.00,Introductory cartoon-design patch pack for infants,https://www.bigbasket.com/media/uploads/p/l/40121147_1-good-knight-patches-pack-of-12.jpg
GCPL-GK-083,Goodknight Naturals Neem Liquid Vapouriser Machine + Refill,Goodknight,Home Care,Household Insecticides,1 Kit,130.00,115.00,100% natural active botanical liquid mosquito machine,https://www.bigbasket.com/media/uploads/p/l/40204141_1-good-knight-naturals-neem-machine.jpg
GCPL-GK-084,Goodknight Naturals Neem Liquid Vapouriser Refill,Goodknight,Home Care,Household Insecticides,45 ml,95.00,88.00,Natural active organic botanical liquid vaporiser refill,https://www.bigbasket.com/media/uploads/p/l/40204142_1-good-knight-naturals-neem-liquid-refill.jpg
GCPL-GK-085,Goodknight Naturals Neem Liquid Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,185.00,165.00,Twin pack of natural active plant-based liquid refills,https://www.bigbasket.com/media/uploads/p/l/40204143_1-good-knight-naturals-neem-liquid-refill-pack-of-2.jpg
GCPL-HT-086,Kala HIT Flying Insect Killer Spray,HIT,Home Care,Household Insecticides,150 ml,75.00,70.00,Aerosol spray instantly kills flying mosquitoes and flies,https://www.bigbasket.com/media/uploads/p/l/120281_10-hit-flying-insect-killer-kala-hit.jpg
GCPL-HT-087,Kala HIT Flying Insect Killer Spray Medium,HIT,Home Care,Household Insecticides,320 ml,150.00,138.00,Standard household black aerosol spray for indoor application,https://www.bigbasket.com/media/uploads/p/l/120282_10-hit-flying-insect-killer-kala-hit-320ml.jpg
GCPL-HT-088,Kala HIT Flying Insect Killer Spray Large,HIT,Home Care,Household Insecticides,400 ml,195.00,175.00,Value-packed aerosol killer for indoor flying pests,https://www.bigbasket.com/media/uploads/p/l/120283_10-hit-flying-insect-killer-kala-hit-400ml.jpg
GCPL-HT-089,Kala HIT Flying Insect Killer Spray Jumbo,HIT,Home Care,Household Insecticides,625 ml,295.00,260.00,Jumbo size kala hit for comprehensive long term household protection,https://www.bigbasket.com/media/uploads/p/l/120284_10-hit-flying-insect-killer-kala-hit-625ml.jpg
GCPL-HT-090,Kala HIT Flying Insect Killer Spray Lime Fragrance,HIT,Home Care,Household Insecticides,320 ml,155.00,142.00,Black hit aerosol with refreshing lime mist base,https://www.bigbasket.com/media/uploads/p/l/40093845_1-hit-flying-insect-killer-lime.jpg
GCPL-HT-091,Kala HIT Flying Insect Killer Spray Lime Large,HIT,Home Care,Household Insecticides,400 ml,200.00,180.00,Large size lime scented mosquito and fly aerosol spray,https://www.bigbasket.com/media/uploads/p/l/40093846_1-hit-flying-insect-killer-lime-400ml.jpg
GCPL-HT-092,Kala HIT Flying Insect Killer Spray Lime Jumbo,HIT,Home Care,Household Insecticides,625 ml,305.00,270.00,Jumbo size lime scented flying insect aerosol,https://www.bigbasket.com/media/uploads/p/l/40093847_1-hit-flying-insect-killer-lime-625ml.jpg
GCPL-HT-093,Lal HIT Cockroach Killer Spray,HIT,Home Care,Household Insecticides,150 ml,85.00,78.00,Deep reach nozzle spray instantly kills crawling cockroaches,https://www.bigbasket.com/media/uploads/p/l/107800_9-hit-cockroach-killer-spray.jpg
GCPL-HT-094,Lal HIT Cockroach Killer Spray Medium,HIT,Home Care,Household Insecticides,320 ml,175.00,160.00,Red aerosol spray with seek-and-kill nozzle extension,https://www.bigbasket.com/media/uploads/p/l/107801_9-hit-cockroach-killer-spray-320ml.jpg
GCPL-HT-095,Lal HIT Cockroach Killer Spray Large,HIT,Home Care,Household Insecticides,400 ml,220.00,198.00,Standard deep reach cockroach killer aerosol,https://www.bigbasket.com/media/uploads/p/l/107802_9-hit-cockroach-killer-spray-400ml.jpg
GCPL-HT-096,Lal HIT Cockroach Killer Spray Jumbo,HIT,Home Care,Household Insecticides,625 ml,325.00,290.00,Jumbo size लाल हिट spray for total home safety,https://www.bigbasket.com/media/uploads/p/l/107803_9-hit-cockroach-killer-spray-625ml.jpg
GCPL-HT-097,Lal HIT Cockroach Killer Spray Fresh Fragrance,HIT,Home Care,Household Insecticides,320 ml,180.00,165.00,Crawling insect spray with mild fresh floral fragrance,https://www.bigbasket.com/media/uploads/p/l/40093848_1-hit-cockroach-killer-fresh.jpg
GCPL-HT-098,Lal HIT Cockroach Killer Spray Fresh Large,HIT,Home Care,Household Insecticides,400 ml,225.00,205.00,Large sized fresh scented cockroach aerosol killer,https://www.bigbasket.com/media/uploads/p/l/40093849_1-hit-cockroach-killer-fresh-400ml.jpg
